service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000001-1,0,0,0,0,0,0,1,20200412,20200425
0000011-1,0,0,0,0,0,1,1,20200412,20200425
1111111-1,1,1,1,1,1,1,1,20200412,20200425
1111101-1,1,1,1,1,1,0,1,20200412,20200425
1111101-2,1,1,1,1,1,0,1,20200412,20200414
0000001-2,0,0,0,0,0,0,1,20200412,20200413
1111100-1,1,1,1,1,1,0,0,20200412,20200425
1111110-1,1,1,1,1,1,1,0,20200412,20200425
1111100-2,1,1,1,1,1,0,0,20200414,20200414
1111111-2,1,1,1,1,1,1,1,20200414,20200425
1111111-3,1,1,1,1,1,1,1,20200414,20200425
1111100-3,1,1,1,1,1,0,0,20200414,20200425
1111100-4,1,1,1,1,1,0,0,20200415,20200425
1111111-4,1,1,1,1,1,1,1,20200415,20200425
0000010-1,0,0,0,0,0,1,0,20200412,20200425
0000011-2,0,0,0,0,0,1,1,20200418,20200425
0000010-2,0,0,0,0,0,1,0,20200418,20200425
0000001-3,0,0,0,0,0,0,1,20200419,20200425
0000001-4,0,0,0,0,0,0,1,20200412,20200425
1111101-3,1,1,1,1,1,0,1,20200412,20200425
1111111-5,1,1,1,1,1,1,1,20200412,20200425
1111111-6,1,1,1,1,1,1,1,20200412,20200425
1111111-7,1,1,1,1,1,1,1,20200412,20200425
1111111-8,1,1,1,1,1,1,1,20200412,20200425
0000011-3,0,0,0,0,0,1,1,20200412,20200425
1111111-9,1,1,1,1,1,1,1,20200412,20200425
0000001-5,0,0,0,0,0,0,1,20200412,20200425
0000001-6,0,0,0,0,0,0,1,20200412,20200412
0000001-7,0,0,0,0,0,0,1,20200413,20200425
1111101-4,1,1,1,1,1,0,1,20200413,20200425
1111100-5,1,1,1,1,1,0,0,20200414,20200415
1111100-6,1,1,1,1,1,0,0,20200414,20200425
1111110-2,1,1,1,1,1,1,0,20200412,20200425
1111100-7,1,1,1,1,1,0,0,20200414,20200424
1111100-8,1,1,1,1,1,0,0,20200415,20200425
1111110-3,1,1,1,1,1,1,0,20200412,20200425
1111100-9,1,1,1,1,1,0,0,20200415,20200415
1111100-10,1,1,1,1,1,0,0,20200416,20200425
0000011-4,0,0,0,0,0,1,1,20200412,20200419
1111101-5,1,1,1,1,1,0,1,20200412,20200425
0000011-5,0,0,0,0,0,1,1,20200412,20200425
1111111-10,1,1,1,1,1,1,1,20200412,20200425
0000001-8,0,0,0,0,0,0,1,20200412,20200425
0000001-9,0,0,0,0,0,0,1,20200412,20200425
0000011-6,0,0,0,0,0,1,1,20200412,20200413
1111111-11,1,1,1,1,1,1,1,20200412,20200415
0000011-7,0,0,0,0,0,1,1,20200412,20200425
1111111-12,1,1,1,1,1,1,1,20200412,20200425
0000001-10,0,0,0,0,0,0,1,20200412,20200425
1111101-6,1,1,1,1,1,0,1,20200412,20200425
1111111-13,1,1,1,1,1,1,1,20200412,20200425
1111100-11,1,1,1,1,1,0,0,20200412,20200425
1111101-7,1,1,1,1,1,0,1,20200412,20200425
1111111-14,1,1,1,1,1,1,1,20200412,20200425
1111101-8,1,1,1,1,1,0,1,20200412,20200425
0000001-11,0,0,0,0,0,0,1,20200412,20200425
0000011-8,0,0,0,0,0,1,1,20200412,20200425
1111111-15,1,1,1,1,1,1,1,20200412,20200425
0000001-12,0,0,0,0,0,0,1,20200412,20200425
1111101-9,1,1,1,1,1,0,1,20200412,20200425
0000001-13,0,0,0,0,0,0,1,20200412,20200425
1111101-10,1,1,1,1,1,0,1,20200412,20200425
1111111-16,1,1,1,1,1,1,1,20200412,20200425
1111111-17,1,1,1,1,1,1,1,20200412,20200425
1111001-1,1,1,1,1,0,0,1,20200412,20200425
0000011-9,0,0,0,0,0,1,1,20200413,20200413
1111111-18,1,1,1,1,1,1,1,20200413,20200415
1111100-12,1,1,1,1,1,0,0,20200412,20200414
1111100-13,1,1,1,1,1,0,0,20200412,20200417
1111100-14,1,1,1,1,1,0,0,20200412,20200415
1111100-15,1,1,1,1,1,0,0,20200412,20200425
1111100-16,1,1,1,1,1,0,0,20200412,20200424
1111100-17,1,1,1,1,1,0,0,20200414,20200425
1111100-18,1,1,1,1,1,0,0,20200412,20200425
1111110-4,1,1,1,1,1,1,0,20200412,20200425
1111100-19,1,1,1,1,1,0,0,20200414,20200425
1111100-20,1,1,1,1,1,0,0,20200412,20200425
1111100-21,1,1,1,1,1,0,0,20200414,20200417
1111110-5,1,1,1,1,1,1,0,20200412,20200418
1111100-22,1,1,1,1,1,0,0,20200412,20200425
1111100-23,1,1,1,1,1,0,0,20200412,20200425
1111100-24,1,1,1,1,1,0,0,20200414,20200425
1111111-19,1,1,1,1,1,1,1,20200412,20200425
1111100-25,1,1,1,1,1,0,0,20200412,20200425
1111100-26,1,1,1,1,1,0,0,20200415,20200425
1111110-6,1,1,1,1,1,1,0,20200415,20200425
1111111-20,1,1,1,1,1,1,1,20200416,20200425
1111100-27,1,1,1,1,1,0,0,20200415,20200425
1111111-21,1,1,1,1,1,1,1,20200412,20200425
1111100-28,1,1,1,1,1,0,0,20200412,20200425
0000110-1,0,0,0,0,1,1,0,20200412,20200425
0000010-3,0,0,0,0,0,1,0,20200412,20200425
0000011-10,0,0,0,0,0,1,1,20200412,20200425
0000010-4,0,0,0,0,0,1,0,20200412,20200418
0000001-14,0,0,0,0,0,0,1,20200412,20200425
1111100-29,1,1,1,1,1,0,0,20200420,20200425
1111110-7,1,1,1,1,1,1,0,20200420,20200425
1111110-8,1,1,1,1,1,1,0,20200412,20200425
1111100-30,1,1,1,1,1,0,0,20200412,20200425
1111100-31,1,1,1,1,1,0,0,20200415,20200425
1111100-32,1,1,1,1,1,0,0,20200412,20200425
1111110-9,1,1,1,1,1,1,0,20200412,20200425
1111100-33,1,1,1,1,1,0,0,20200412,20200425
0000010-5,0,0,0,0,0,1,0,20200425,20200425
0000010-6,0,0,0,0,0,1,0,20200412,20200425
1111111-22,1,1,1,1,1,1,1,20200412,20200414
1111001-2,1,1,1,1,0,0,1,20200412,20200425
1111111-23,1,1,1,1,1,1,1,20200412,20200425
0000011-11,0,0,0,0,0,1,1,20200412,20200425
1111101-11,1,1,1,1,1,0,1,20200412,20200425
1111000-1,1,1,1,1,0,0,0,20200412,20200425
1111000-2,1,1,1,1,0,0,0,20200412,20200425
1111100-34,1,1,1,1,1,0,0,20200414,20200416
1111100-35,1,1,1,1,1,0,0,20200414,20200425
1111100-36,1,1,1,1,1,0,0,20200412,20200425
1111100-37,1,1,1,1,1,0,0,20200412,20200425
0000100-1,0,0,0,0,1,0,0,20200412,20200425
1111100-38,1,1,1,1,1,0,0,20200417,20200425
1111100-39,1,1,1,1,1,0,0,20200412,20200425
0000011-12,0,0,0,0,0,1,1,20200418,20200425
1111100-40,1,1,1,1,1,0,0,20200414,20200425
1111100-41,1,1,1,1,1,0,0,20200412,20200425
0000011-13,0,0,0,0,0,1,1,20200418,20200425
0000011-14,0,0,0,0,0,1,1,20200425,20200425
