service_id,date,exception_type
0000001-1,20200413,1
0000011-1,20200413,1
0000001-2,20200413,1
1111100-1,20200413,2
1111110-1,20200413,2
1111111-2,20200415,2
1111111-2,20200416,2
1111111-2,20200417,2
1111111-2,20200420,2
1111111-2,20200421,2
1111111-2,20200422,2
1111111-2,20200423,2
1111111-2,20200424,2
0000001-4,20200413,1
0000001-4,20200414,1
0000001-4,20200415,1
1111101-3,20200414,2
1111101-3,20200415,2
1111111-5,20200416,2
1111111-5,20200417,2
1111111-5,20200420,2
1111111-5,20200421,2
1111111-5,20200422,2
1111111-5,20200423,2
1111111-5,20200424,2
1111111-6,20200414,2
1111111-6,20200421,2
1111111-6,20200422,2
1111111-6,20200423,2
1111111-6,20200424,2
1111111-7,20200421,2
1111111-7,20200422,2
1111111-7,20200423,2
1111111-7,20200424,2
1111111-8,20200414,2
1111111-8,20200415,2
0000011-3,20200419,2
1111111-9,20200415,2
0000001-5,20200413,1
0000001-5,20200414,1
0000001-5,20200415,1
0000001-5,20200416,1
0000001-5,20200417,1
0000001-5,20200420,1
0000001-5,20200421,1
0000001-5,20200422,1
0000001-5,20200423,1
0000001-5,20200424,1
0000001-7,20200413,1
1111100-6,20200421,2
1111100-6,20200422,2
1111100-6,20200423,2
1111100-6,20200424,2
1111110-2,20200413,2
1111110-2,20200421,2
1111110-2,20200422,2
1111110-2,20200423,2
1111110-2,20200424,2
1111100-8,20200421,2
1111100-8,20200422,2
1111100-8,20200423,2
1111100-8,20200424,2
1111110-3,20200413,2
1111110-3,20200414,2
1111110-3,20200421,2
1111110-3,20200422,2
1111110-3,20200423,2
1111110-3,20200424,2
0000011-4,20200413,1
1111101-5,20200415,2
1111101-5,20200416,2
1111101-5,20200417,2
1111101-5,20200418,1
1111101-5,20200419,2
1111101-5,20200420,2
1111101-5,20200421,2
1111101-5,20200422,2
1111101-5,20200423,2
1111101-5,20200424,2
1111101-5,20200425,1
0000011-5,20200413,1
0000011-5,20200419,2
1111111-10,20200419,2
0000001-8,20200413,1
0000001-8,20200414,1
0000001-8,20200415,1
0000001-8,20200416,1
0000001-8,20200417,1
0000001-8,20200418,1
0000001-9,20200413,1
0000001-9,20200418,1
0000011-6,20200413,1
0000011-7,20200413,1
0000011-7,20200425,2
1111111-12,20200421,2
1111111-12,20200422,2
1111111-12,20200423,2
1111111-12,20200424,2
1111111-12,20200425,2
0000001-10,20200413,1
0000001-10,20200419,2
1111101-6,20200415,2
1111101-6,20200416,2
1111101-6,20200417,2
1111101-6,20200419,2
1111101-6,20200420,2
1111101-6,20200421,2
1111101-6,20200422,2
1111101-6,20200423,2
1111101-6,20200424,2
1111111-13,20200415,2
1111111-13,20200416,2
1111111-13,20200417,2
1111111-13,20200420,2
1111111-13,20200421,2
1111111-13,20200422,2
1111111-13,20200423,2
1111111-13,20200424,2
1111100-11,20200412,1
1111100-11,20200415,2
1111100-11,20200416,2
1111100-11,20200417,2
1111100-11,20200420,2
1111100-11,20200421,2
1111100-11,20200422,2
1111100-11,20200423,2
1111100-11,20200424,2
1111101-7,20200414,2
1111111-14,20200414,2
1111101-8,20200416,2
1111101-8,20200417,2
1111101-8,20200419,2
1111101-8,20200420,2
1111101-8,20200421,2
1111101-8,20200422,2
1111101-8,20200423,2
1111101-8,20200424,2
0000001-11,20200413,1
0000001-11,20200414,1
0000001-11,20200419,2
1111111-15,20200413,2
1111111-15,20200414,2
1111111-15,20200415,2
0000001-12,20200413,1
0000001-12,20200418,1
0000001-12,20200425,1
1111101-9,20200418,1
1111101-9,20200425,1
0000001-13,20200413,1
0000001-13,20200414,1
0000001-13,20200415,1
0000001-13,20200416,1
0000001-13,20200417,1
1111101-10,20200418,1
1111111-16,20200420,2
1111111-16,20200421,2
1111111-16,20200422,2
1111111-16,20200423,2
1111111-16,20200424,2
1111111-17,20200420,2
1111111-17,20200421,2
1111111-17,20200422,2
1111111-17,20200423,2
1111111-17,20200424,2
1111111-17,20200425,2
0000011-9,20200413,1
1111100-12,20200413,2
1111100-13,20200413,2
1111100-14,20200413,2
1111100-15,20200413,2
1111100-15,20200421,2
1111100-15,20200422,2
1111100-15,20200423,2
1111100-15,20200424,2
1111100-16,20200413,2
1111100-17,20200415,2
1111100-17,20200416,2
1111100-17,20200417,2
1111100-17,20200420,2
1111100-17,20200421,2
1111100-17,20200422,2
1111100-17,20200423,2
1111100-17,20200424,2
1111100-18,20200413,2
1111100-18,20200415,2
1111100-18,20200416,2
1111100-18,20200417,2
1111100-18,20200420,2
1111100-18,20200421,2
1111100-18,20200422,2
1111100-18,20200423,2
1111100-18,20200424,2
1111110-4,20200413,2
1111110-4,20200415,2
1111110-4,20200416,2
1111110-4,20200417,2
1111110-4,20200420,2
1111110-4,20200421,2
1111110-4,20200422,2
1111110-4,20200423,2
1111110-4,20200424,2
1111100-19,20200416,2
1111100-19,20200417,2
1111100-19,20200420,2
1111100-19,20200421,2
1111100-19,20200422,2
1111100-19,20200423,2
1111100-19,20200424,2
1111100-20,20200413,2
1111100-20,20200422,2
1111100-20,20200423,2
1111100-20,20200424,2
1111110-5,20200413,2
1111100-22,20200413,2
1111100-22,20200416,2
1111100-22,20200417,2
1111100-22,20200420,2
1111100-22,20200421,2
1111100-22,20200422,2
1111100-22,20200423,2
1111100-22,20200424,2
1111100-23,20200413,2
1111100-23,20200420,2
1111100-23,20200421,2
1111100-23,20200422,2
1111100-23,20200423,2
1111100-23,20200424,2
1111100-24,20200414,2
1111111-19,20200412,2
1111111-19,20200413,2
1111111-19,20200414,2
1111100-25,20200413,2
1111100-25,20200414,2
1111100-26,20200416,2
1111100-26,20200417,2
1111100-26,20200420,2
1111100-26,20200421,2
1111100-26,20200422,2
1111100-26,20200423,2
1111100-26,20200424,2
1111100-27,20200415,2
1111111-21,20200412,2
1111111-21,20200413,2
1111111-21,20200414,2
1111111-21,20200415,2
1111100-28,20200413,2
1111100-28,20200414,2
1111100-28,20200415,2
0000010-3,20200425,2
0000011-10,20200412,2
0000001-14,20200412,2
1111110-8,20200413,2
1111110-8,20200414,2
1111110-8,20200415,2
1111110-8,20200416,2
1111110-8,20200417,2
1111110-8,20200418,2
1111100-30,20200413,2
1111100-30,20200414,2
1111100-30,20200415,2
1111100-30,20200416,2
1111100-30,20200417,2
1111100-31,20200415,2
1111100-31,20200416,2
1111100-31,20200417,2
1111100-31,20200420,2
1111100-32,20200413,2
1111100-32,20200414,2
1111100-32,20200415,2
1111100-32,20200416,2
1111100-32,20200417,2
1111100-32,20200420,2
1111110-9,20200413,2
1111110-9,20200414,2
1111110-9,20200415,2
1111110-9,20200416,2
1111110-9,20200417,2
1111110-9,20200418,2
1111110-9,20200420,2
1111100-33,20200413,2
1111100-33,20200414,2
1111100-33,20200415,2
1111100-33,20200416,2
1111100-33,20200417,2
1111100-33,20200420,2
1111100-33,20200421,2
0000010-6,20200418,2
1111001-2,20200417,1
1111001-2,20200418,1
1111001-2,20200424,1
1111001-2,20200425,1
1111111-23,20200414,2
1111111-23,20200415,2
1111111-23,20200416,2
0000011-11,20200413,1
0000011-11,20200418,2
0000011-11,20200419,2
1111101-11,20200412,2
1111000-1,20200413,2
1111000-1,20200417,1
1111000-1,20200424,1
1111000-2,20200413,2
1111100-35,20200423,2
1111100-35,20200424,2
1111100-36,20200413,2
1111100-36,20200423,2
1111100-36,20200424,2
1111100-37,20200413,2
1111100-37,20200417,2
1111100-37,20200420,2
1111100-37,20200421,2
1111100-37,20200422,2
1111100-37,20200423,2
1111100-37,20200424,2
1111100-39,20200413,2
1111100-39,20200414,2
1111100-39,20200415,2
1111100-39,20200416,2
0000011-12,20200425,2
1111100-40,20200414,2
1111100-40,20200415,2
1111100-40,20200416,2
1111100-40,20200417,2
1111100-40,20200420,2
1111100-40,20200421,2
1111100-40,20200422,2
1111100-41,20200413,2
1111100-41,20200414,2
1111100-41,20200415,2
1111100-41,20200416,2
1111100-41,20200417,2
1111100-41,20200420,2
1111100-41,20200421,2
1111100-41,20200422,2
0000011-13,20200418,2
0000011-13,20200419,2
1111100_TR1,20191224,2
1111100_TR1,20191225,2
1111100_TR1,20191226,2
1111100_TR1,20200101,2
1111100_TR1,20200410,2
1111100_TR1,20200413,2
1111100_TR1,20200501,2
1111100_TR1,20200508,2
1111100_TR1,20200706,2
1111100_TR1,20200928,2
1111100_TR1,20201028,2
1111100_TR1,20201117,2
1111101_TR1,20191224,2
1111101_TR1,20191225,2
1111101_TR1,20191231,2
1111101_TR1,20200410,2
1111101_TR1,20200412,2
1111101_TR1,20200501,2
1111101_TR1,20200508,2
1111101_TR1,20200705,2
1111101_TR1,20200927,2
1111111_TR2,20191224,2
1111111_TR2,20191225,2
1111111_TR2,20191231,2
1111111_TR3,20191225,2
1111111_TR3,20191226,2
1111111_TR3,20200101,2
1111111_TR4,20191225,2
1111111_TR4,20200101,2
1111111_TR5,20191224,2
1111111_TR5,20191231,2
1111100_TR2,20191224,2
1111100_TR2,20191225,2
1111100_TR2,20191226,2
1111100_TR2,20191231,2
1111100_TR2,20200101,2
1111100_TR2,20200410,2
1111100_TR2,20200413,2
1111100_TR2,20200501,2
1111100_TR2,20200508,2
1111100_TR2,20200706,2
1111100_TR2,20200928,2
1111100_TR2,20201028,2
1111100_TR2,20201117,2
0100010_TR1,20191225,1
0100010_TR1,20191228,2
1111110_TR1,20191225,2
1111110_TR1,20191226,2
1111110_TR1,20200101,2
1111110_TR1,20200411,2
1111110_TR1,20200413,2
1111110_TR1,20200502,2
1111110_TR1,20200509,2
1111110_TR1,20200706,2
1111110_TR1,20200928,2
0000001_TR1,20191225,1
0000001_TR1,20191226,1
0000001_TR1,20200101,1
0000001_TR1,20200411,1
0000001_TR1,20200413,1
0000001_TR1,20200502,1
0000001_TR1,20200509,1
0000001_TR1,20200706,1
0000001_TR1,20200928,1
0000000_TR1,20191224,1
0000000_TR1,20201028,1
0000000_TR1,20201117,1
0000010_TR1,20200410,1
0000010_TR1,20200411,2
0000010_TR1,20200501,1
0000010_TR1,20200502,2
0000010_TR1,20200508,1
0000010_TR1,20200509,2
0000001_TR2,20191225,1
0000001_TR2,20191226,1
0000001_TR2,20200101,1
0000001_TR2,20200412,2
0000001_TR2,20200413,1
0000001_TR2,20200705,2
0000001_TR2,20200706,1
0000001_TR2,20200927,2
0000001_TR2,20200928,1
0000000_TR2,20200411,1
0000000_TR2,20200412,1
0000000_TR2,20200502,1
0000000_TR2,20200509,1
0000000_TR2,20200705,1
0000000_TR2,20200927,1
0000011_TR1,20191224,1
0000011_TR1,20191225,1
0000011_TR1,20191226,1
0000011_TR1,20200101,1
0000011_TR1,20200410,1
0000011_TR1,20200413,1
0000011_TR1,20200501,1
0000011_TR1,20200508,1
0000011_TR1,20200706,1
0000011_TR1,20200928,1
0000011_TR1,20201028,1
0000011_TR1,20201117,1
1111101_TR2,20191224,2
1111101_TR2,20200410,2
1111101_TR2,20200411,1
1111101_TR2,20200501,2
1111101_TR2,20200502,1
1111101_TR2,20200508,2
1111101_TR2,20200509,1
1111101_TR2,20201028,2
1111101_TR2,20201117,2
0000010_TR2,20191224,1
0000010_TR2,20200410,1
0000010_TR2,20200411,2
0000010_TR2,20200501,1
0000010_TR2,20200502,2
0000010_TR2,20200508,1
0000010_TR2,20200509,2
0000010_TR2,20201028,1
0000010_TR2,20201117,1
0000001_TR3,20191225,1
0000001_TR3,20191229,2
0000001_TR3,20200101,1
1111101_TR3,20200410,2
1111101_TR3,20200412,2
1111101_TR3,20200501,2
1111101_TR3,20200508,2
1111101_TR3,20200705,2
1111101_TR3,20200927,2
0100010_TR2,20191228,2
0000011_TR2,20191224,1
0000011_TR2,20200410,1
0000011_TR2,20200413,1
0000011_TR2,20200501,1
0000011_TR2,20200508,1
0000011_TR2,20200706,1
0000011_TR2,20200928,1
0000011_TR2,20201028,1
0000011_TR2,20201117,1
1111111_TR6,20191224,2
0000001_TR4,20191226,1
0000001_TR4,20200101,1
0000001_TR4,20200412,2
0000001_TR4,20200413,1
0000001_TR4,20200705,2
0000001_TR4,20200706,1
0000001_TR4,20200927,2
0000001_TR4,20200928,1
0000001_TR4,20201028,1
0000001_TR4,20201117,1
0000010_TR3,20191224,1
0000010_TR3,20191231,1
0000010_TR3,20200410,1
0000010_TR3,20200411,2
0000010_TR3,20200501,1
0000010_TR3,20200502,2
0000010_TR3,20200508,1
0000010_TR3,20200509,2
0000010_TR3,20201028,1
0000010_TR3,20201117,1
0000110_TR1,20191223,1
0000110_TR1,20191225,1
0000110_TR1,20200409,1
0000110_TR1,20200412,1
0000110_TR1,20200430,1
0000110_TR1,20200507,1
0000110_TR1,20200705,1
0000110_TR1,20200927,1
0000110_TR1,20201027,1
0000110_TR1,20201116,1
1111001_TR1,20191223,2
1111001_TR1,20191224,2
1111001_TR1,20191225,2
1111001_TR1,20191231,2
1111001_TR1,20200409,2
1111001_TR1,20200412,2
1111001_TR1,20200430,2
1111001_TR1,20200507,2
1111001_TR1,20200705,2
1111001_TR1,20200927,2
1111001_TR1,20201027,2
1111001_TR1,20201116,2
0000001_TR5,20191226,1
0000001_TR5,20200411,1
0000001_TR5,20200413,1
0000001_TR5,20200502,1
0000001_TR5,20200509,1
0000001_TR5,20200706,1
0000001_TR5,20200928,1
1000000_TR1,20191227,1
1000000_TR1,20200102,1
1000000_TR1,20200413,2
1000000_TR1,20200414,1
1000000_TR1,20200706,2
1000000_TR1,20200707,1
1000000_TR1,20200928,2
1000000_TR1,20200929,1
1000000_TR1,20201029,1
1000000_TR1,20201118,1
0111100_TR1,20191224,2
0111100_TR1,20191225,2
0111100_TR1,20191226,2
0111100_TR1,20191227,2
0111100_TR1,20200101,2
0111100_TR1,20200102,2
0111100_TR1,20200410,2
0111100_TR1,20200414,2
0111100_TR1,20200501,2
0111100_TR1,20200508,2
0111100_TR1,20200707,2
0111100_TR1,20200929,2
0111100_TR1,20201028,2
0111100_TR1,20201029,2
0111100_TR1,20201117,2
0111100_TR1,20201118,2
1111110_TR2,20191225,2
1111110_TR2,20191226,2
1111110_TR2,20200101,2
1111110_TR2,20200411,2
1111110_TR2,20200413,2
1111110_TR2,20200502,2
1111110_TR2,20200509,2
1111110_TR2,20200706,2
1111110_TR2,20200928,2
1111110_TR2,20201028,2
1111110_TR2,20201117,2
0000001_TR6,20191225,1
0000001_TR6,20191226,1
0000001_TR6,20200101,1
0000001_TR6,20200411,1
0000001_TR6,20200413,1
0000001_TR6,20200502,1
0000001_TR6,20200509,1
0000001_TR6,20200706,1
0000001_TR6,20200928,1
0000001_TR6,20201028,1
0000001_TR6,20201117,1
1111101_TR4,20191225,2
1111101_TR4,20200410,2
1111101_TR4,20200412,2
1111101_TR4,20200501,2
1111101_TR4,20200508,2
1111101_TR4,20200705,2
1111101_TR4,20200927,2
0000010_TR4,20191225,1
0000010_TR4,20200410,1
0000010_TR4,20200412,1
0000010_TR4,20200501,1
0000010_TR4,20200508,1
0000010_TR4,20200705,1
0000010_TR4,20200927,1
1000000_TR2,20191223,2
1000000_TR2,20191230,2
1000000_TR2,20200102,1
1000000_TR2,20200413,2
1000000_TR2,20200414,1
1000000_TR2,20200706,2
1000000_TR2,20200707,1
1000000_TR2,20200928,2
1000000_TR2,20200929,1
1000000_TR2,20201029,1
1000000_TR2,20201118,1
0111100_TR2,20191223,1
0111100_TR2,20191224,2
0111100_TR2,20191225,2
0111100_TR2,20191226,2
0111100_TR2,20191230,1
0111100_TR2,20200101,2
0111100_TR2,20200102,2
0111100_TR2,20200410,2
0111100_TR2,20200414,2
0111100_TR2,20200501,2
0111100_TR2,20200508,2
0111100_TR2,20200707,2
0111100_TR2,20200929,2
0111100_TR2,20201028,2
0111100_TR2,20201029,2
0111100_TR2,20201117,2
0111100_TR2,20201118,2
0000011_TR3,20191224,1
0000011_TR3,20191226,1
0000011_TR3,20200410,1
0000011_TR3,20200413,1
0000011_TR3,20200501,1
0000011_TR3,20200508,1
0000011_TR3,20200706,1
0000011_TR3,20200928,1
0000011_TR3,20201028,1
0000011_TR3,20201117,1
0000100_TR1,20200409,1
0000100_TR1,20200410,2
0000100_TR1,20200430,1
0000100_TR1,20200501,2
0000100_TR1,20200507,1
0000100_TR1,20200508,2
0000100_TR1,20201027,1
1111000_TR1,20191224,2
1111000_TR1,20191225,2
1111000_TR1,20191226,2
1111000_TR1,20191231,2
1111000_TR1,20200101,2
1111000_TR1,20200409,2
1111000_TR1,20200413,2
1111000_TR1,20200430,2
1111000_TR1,20200507,2
1111000_TR1,20200706,2
1111000_TR1,20200928,2
1111000_TR1,20201027,2
1111000_TR1,20201028,2
1111000_TR1,20201117,2
