fare_id,price,currency_type,payment_method,transfers,transfer_duration
TAE,60,CZK,0,0,
T0,0,CZK,0,0,
T24_P,24,CZK,1,,1800
T32_P,32,CZK,1,,5400
T40_P,40,CZK,1,,7200
T46_P,46,CZK,1,,9000
T54_P,54,CZK,1,,10800
T62_P,62,CZK,1,,12600
T68_P,68,CZK,1,,14400
T76_P,76,CZK,1,,16200
T24_0,24,CZK,1,,1800
T32_0,32,CZK,1,,5400
T40_0,40,CZK,1,,7200
T46_0,46,CZK,1,,9000
T54_0,54,CZK,1,,10800
T62_0,62,CZK,1,,12600
T68_0,68,CZK,1,,14400
T76_0,76,CZK,1,,16200
T24_B,24,CZK,1,,1800
T32_B,32,CZK,1,,5400
T40_B,40,CZK,1,,7200
T46_B,46,CZK,1,,9000
T54_B,54,CZK,1,,10800
T62_B,62,CZK,1,,12600
T68_B,68,CZK,1,,14400
T76_B,76,CZK,1,,16200
T18_B1,18,CZK,1,,1800
T24_B1,24,CZK,1,,3600
T32_B1,32,CZK,1,,5400
T40_B1,40,CZK,1,,7200
T46_B1,46,CZK,1,,9000
T54_B1,54,CZK,1,,10800
T62_B1,62,CZK,1,,12600
T68_B1,68,CZK,1,,14400
T76_B1,76,CZK,1,,16200
T18_1,18,CZK,1,,1800
T24_1,24,CZK,1,,3600
T32_1,32,CZK,1,,5400
T40_1,40,CZK,1,,7200
T46_1,46,CZK,1,,9000
T54_1,54,CZK,1,,10800
T62_1,62,CZK,1,,12600
T68_1,68,CZK,1,,14400
T76_1,76,CZK,1,,16200
T18_12,18,CZK,1,,1800
T24_12,24,CZK,1,,3600
T32_12,32,CZK,1,,5400
T40_12,40,CZK,1,,7200
T46_12,46,CZK,1,,9000
T54_12,54,CZK,1,,10800
T62_12,62,CZK,1,,12600
T68_12,68,CZK,1,,14400
T76_12,76,CZK,1,,16200
