shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
L991V1,50.07553,14.51539,1,0.00000
L991V1,50.07371,14.51461,2,0.20965
L991V1,50.07361,14.51456,3,0.22173
L991V1,50.07351,14.51451,4,0.23382
L991V1,50.07340,14.51447,5,0.24552
L991V1,50.07329,14.51444,6,0.25817
L991V1,50.07319,14.51441,7,0.26988
L991V1,50.07308,14.51437,8,0.28158
L991V1,50.07298,14.51435,9,0.29298
L991V1,50.07288,14.51433,10,0.30438
L991V1,50.07278,14.51431,11,0.31579
L991V1,50.07269,14.51429,12,0.32623
L991V1,50.07248,14.51427,13,0.34957
L991V1,50.07229,14.51426,14,0.37095
L991V1,50.07178,14.51424,15,0.42668
L991V1,50.07178,14.51424,16,0.42668
L991V1,50.07165,14.51423,17,0.44198
L991V1,50.07151,14.51421,18,0.45727
L991V1,50.07136,14.51419,19,0.47377
L991V1,50.07121,14.51415,20,0.49053
L991V1,50.07107,14.51411,21,0.50634
L991V1,50.07093,14.51407,22,0.52215
L991V1,50.07081,14.51401,23,0.53647
L991V1,50.07070,14.51396,24,0.54947
L991V1,50.07058,14.51390,25,0.56289
L991V1,50.07047,14.51384,26,0.57630
L991V1,50.07044,14.51382,27,0.58021
L991V1,50.07036,14.51376,28,0.58934
L991V1,50.07026,14.51369,29,0.60238
L991V1,50.07015,14.51361,30,0.61542
L991V1,50.07005,14.51352,31,0.62822
L991V1,50.06995,14.51343,32,0.64103
L991V1,50.06986,14.51332,33,0.65376
L991V1,50.06976,14.51321,34,0.66721
L991V1,50.06968,14.51311,35,0.67925
L991V1,50.06959,14.51300,36,0.69198
L991V1,50.06951,14.51287,37,0.70479
L991V1,50.06942,14.51275,38,0.71759
L991V1,50.06935,14.51261,39,0.73063
L991V1,50.06927,14.51247,40,0.74367
L991V1,50.06920,14.51233,41,0.75620
L991V1,50.06914,14.51219,42,0.76873
L991V1,50.06907,14.51204,43,0.78215
L991V1,50.06901,14.51188,44,0.79515
L991V1,50.06895,14.51172,45,0.80815
L991V1,50.06889,14.51155,46,0.82208
L991V1,50.06884,14.51139,47,0.83473
L991V1,50.06879,14.51121,48,0.84929
L991V1,50.06874,14.51103,49,0.86263
L991V1,50.06870,14.51085,50,0.87694
L991V1,50.06867,14.51066,51,0.89109
L991V1,50.06863,14.51047,52,0.90523
L991V1,50.06860,14.51028,53,0.91937
L991V1,50.06857,14.51007,54,0.93440
L991V1,50.06854,14.50986,55,0.94944
L991V1,50.06852,14.50956,56,0.97124
L991V1,50.06838,14.50718,57,1.14254
L991V1,50.06832,14.50612,58,1.21871
L991V1,50.06830,14.50577,59,1.24373
L991V1,50.06829,14.50543,60,1.26781
L991V1,50.06828,14.50511,61,1.29090
L991V1,50.06827,14.50480,62,1.31299
L991V1,50.06827,14.50449,63,1.33519
L991V1,50.06828,14.50420,64,1.35657
L991V1,50.06828,14.50391,65,1.37679
L991V1,50.06830,14.50363,66,1.39741
L991V1,50.06831,14.50334,67,1.41780
L991V1,50.06834,14.50305,68,1.43868
L991V1,50.06836,14.50277,69,1.45930
L991V1,50.06840,14.50249,70,1.47955
L991V1,50.06844,14.50222,71,1.49980
L991V1,50.06848,14.50194,72,1.52004
L991V1,50.06853,14.50166,73,1.54066
L991V1,50.06858,14.50138,74,1.56128
L991V1,50.06864,14.50110,75,1.58275
L991V1,50.06871,14.50082,76,1.60422
L991V1,50.06878,14.50054,77,1.62569
L991V1,50.06885,14.50024,78,1.64851
