trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
991_1412_191225,12:17:40,12:17:40,U1071Z102P,1,,0,0,0.00000
991_1412_191225,12:19:40,12:20:10,U953Z102P,2,,0,0,1.14254
991_1412_191225,12:22:25,12:22:55,U713Z102P,3,,0,0,2.53197
991_1412_191225,12:24:35,12:25:05,U921Z102P,4,,0,0,3.76786
991_1412_191225,12:26:30,12:26:50,U118Z102P,5,,0,0,4.71335
991_1412_191225,12:28:05,12:28:25,U209Z102P,6,,0,0,5.57688
991_1412_191225,12:29:40,12:30:00,U476Z102P,7,,0,0,6.43303
991_1412_191225,12:31:15,12:31:45,U400Z102P,8,,0,0,7.23968
991_1412_191225,12:32:50,12:33:20,U1072Z102P,9,,0,0,7.93047
991_1412_191225,12:34:30,12:34:50,U703Z102P,10,,0,0,8.67261
991_1412_191225,12:35:55,12:36:15,U360Z102P,11,,0,0,9.44856
991_1412_191225,12:37:35,12:38:05,U163Z102P,12,,0,0,10.26975
991_1412_191225,12:39:25,12:39:55,U321Z102P,13,,0,0,11.09886
991_1412_191225,12:42:30,12:42:50,U157Z102P,14,,0,0,13.28395
991_1412_191225,12:44:20,12:44:40,U462Z102P,15,,0,0,14.37667
991_1412_191225,12:46:20,12:46:50,U507Z102P,16,,0,0,15.51257
991_1412_191225,12:48:50,12:48:50,U306Z102P,17,,0,0,17.03718
991_529_191224,12:58:25,12:58:25,U306Z101P,1,,0,0,0.00000
991_529_191224,13:00:15,13:00:45,U507Z101P,2,,0,0,1.47673
991_529_191224,13:02:15,13:02:35,U462Z101P,3,,0,0,2.66070
991_529_191224,13:04:00,13:04:20,U157Z101P,4,,0,0,3.75426
991_529_191224,13:06:35,13:07:05,U321Z101P,5,,0,0,5.93904
991_529_191224,13:08:15,13:08:45,U163Z101P,6,,0,0,6.76843
991_529_191224,13:09:55,13:10:15,U360Z101P,7,,0,0,7.58878
991_529_191224,13:11:20,13:11:40,U703Z101P,8,,0,0,8.36498
991_529_191224,13:12:50,13:13:20,U1072Z101P,9,,0,0,9.11398
991_529_191224,13:14:30,13:15:00,U400Z101P,10,,0,0,9.79675
991_529_191224,13:16:20,13:16:40,U476Z101P,11,,0,0,10.60475
991_529_191224,13:17:55,13:18:15,U209Z101P,12,,0,0,11.46149
991_529_191224,13:19:35,13:19:55,U118Z101P,13,,0,0,12.32229
991_529_191224,13:21:15,13:21:45,U921Z101P,14,,0,0,13.26885
991_529_191224,13:23:30,13:24:00,U713Z101P,15,,0,0,14.48886
991_529_191224,13:26:30,13:27:00,U953Z101P,16,,0,0,15.89305
991_529_191224,13:29:00,13:29:00,U1071Z101P,17,,0,0,16.93727
991_1413_180901,13:32:40,13:32:40,U1071Z101P,1,,0,0,0.00000
991_1413_180901,13:34:40,13:35:10,U953Z102P,2,,0,0,1.14298
991_1413_180901,13:37:25,13:37:55,U713Z102P,3,,0,0,2.53241
991_1413_180901,13:39:35,13:40:05,U921Z102P,4,,0,0,3.76830
991_1413_180901,13:41:30,13:41:50,U118Z102P,5,,0,0,4.71379
991_1413_180901,13:43:05,13:43:25,U209Z102P,6,,0,0,5.57732
991_1413_180901,13:44:40,13:45:00,U476Z102P,7,,0,0,6.43347
991_1413_180901,13:46:15,13:46:45,U400Z102P,8,,0,0,7.24012
991_1413_180901,13:47:50,13:48:20,U1072Z102P,9,,0,0,7.93091
991_1413_180901,13:49:30,13:49:50,U703Z102P,10,,0,0,8.67305
991_1413_180901,13:50:55,13:51:15,U360Z102P,11,,0,0,9.44899
991_1413_180901,13:52:35,13:53:05,U163Z102P,12,,0,0,10.27019
991_1413_180901,13:54:25,13:54:55,U321Z102P,13,,0,0,11.09930
991_1413_180901,13:57:30,13:57:50,U157Z102P,14,,0,0,13.28439
991_1413_180901,13:59:20,13:59:40,U462Z102P,15,,0,0,14.37711
991_1413_180901,14:01:20,14:01:50,U507Z102P,16,,0,0,15.51301
991_1413_180901,14:03:50,14:03:50,U306Z102P,17,,0,0,17.03762
991_2582_191225,14:13:25,14:13:25,U306Z101P,1,,0,0,0.00000
991_2582_191225,14:15:15,14:15:45,U507Z101P,2,,0,0,1.47673
991_2582_191225,14:17:15,14:17:35,U462Z101P,3,,0,0,2.66070
991_2582_191225,14:19:00,14:19:20,U157Z101P,4,,0,0,3.75426
991_2582_191225,14:21:35,14:22:05,U321Z101P,5,,0,0,5.93904
991_2582_191225,14:23:15,14:23:45,U163Z101P,6,,0,0,6.76843
991_2582_191225,14:24:55,14:25:15,U360Z101P,7,,0,0,7.58878
991_2582_191225,14:26:20,14:26:40,U703Z101P,8,,0,0,8.36498
991_2582_191225,14:27:50,14:28:20,U1072Z101P,9,,0,0,9.11398
991_2582_191225,14:29:30,14:30:00,U400Z101P,10,,0,0,9.79675
991_2582_191225,14:31:20,14:31:40,U476Z101P,11,,0,0,10.60475
991_2582_191225,14:32:55,14:33:15,U209Z101P,12,,0,0,11.46149
991_2582_191225,14:34:35,14:34:55,U118Z101P,13,,0,0,12.32229
991_2582_191225,14:36:15,14:36:45,U921Z101P,14,,0,0,13.26885
991_2582_191225,14:38:30,14:39:10,U713Z101P,15,,0,0,14.48886
991_2582_191225,14:41:40,14:42:25,U953Z101P,16,,0,0,15.89305
991_2582_191225,14:44:25,14:44:25,U1071Z101P,17,,0,0,16.93727
991_1414_191224,14:47:40,14:47:40,U1071Z101P,1,,0,0,0.00000
991_1414_191224,14:49:40,14:50:10,U953Z102P,2,,0,0,1.14298
991_1414_191224,14:52:25,14:52:55,U713Z102P,3,,0,0,2.53241
991_1414_191224,14:54:35,14:55:05,U921Z102P,4,,0,0,3.76830
991_1414_191224,14:56:30,14:56:50,U118Z102P,5,,0,0,4.71379
991_1414_191224,14:58:05,14:58:25,U209Z102P,6,,0,0,5.57732
991_1414_191224,14:59:40,15:00:00,U476Z102P,7,,0,0,6.43347
991_1414_191224,15:01:15,15:01:45,U400Z102P,8,,0,0,7.24012
991_1414_191224,15:02:50,15:03:20,U1072Z102P,9,,0,0,7.93091
991_1414_191224,15:04:30,15:04:50,U703Z102P,10,,0,0,8.67305
991_1414_191224,15:05:55,15:06:15,U360Z102P,11,,0,0,9.44899
991_1414_191224,15:07:35,15:08:05,U163Z102P,12,,0,0,10.27019
991_1414_191224,15:09:25,15:09:55,U321Z102P,13,,0,0,11.09930
991_1414_191224,15:12:30,15:12:50,U157Z102P,14,,0,0,13.28439
991_1414_191224,15:14:20,15:14:40,U462Z102P,15,,0,0,14.37711
991_1414_191224,15:16:20,15:16:50,U507Z102P,16,,0,0,15.51301
991_1414_191224,15:18:50,15:18:50,U306Z102P,17,,0,0,17.03762
991_533_191225,15:28:25,15:28:25,U306Z101P,1,,0,0,0.00000
991_533_191225,15:30:15,15:30:45,U507Z101P,2,,0,0,1.47673
991_533_191225,15:32:15,15:32:35,U462Z101P,3,,0,0,2.66070
991_533_191225,15:34:00,15:34:20,U157Z101P,4,,0,0,3.75426
991_533_191225,15:36:35,15:37:05,U321Z101P,5,,0,0,5.93904
991_533_191225,15:38:15,15:38:45,U163Z101P,6,,0,0,6.76843
991_533_191225,15:39:55,15:40:15,U360Z101P,7,,0,0,7.58878
