route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,exceptional,trip_operation_type
L991,0000001-1,991_1412_191225,"Nemocnice Motol",,0,,L991V1,1,1,0,1
L991,0000011-1,991_529_191224,"Depo Hostivař",,1,,L991V2,1,1,0,1
L991,0000011-1,991_1413_180901,"Nemocnice Motol",,0,,L991V3,1,1,0,1
L991,0000001-1,991_2582_191225,"Depo Hostivař",,1,,L991V2,1,1,0,1
L991,0000011-1,991_1414_191224,"Nemocnice Motol",,0,,L991V3,1,1,0,1
L991,0000001-1,991_533_191225,"Depo Hostivař",,1,,L991V4,1,1,0,1
L991,0000001-1,991_1415_191225,"Nemocnice Motol",,0,,L991V1,1,1,0,1
L991,0000011-1,991_535_191224,"Depo Hostivař",,1,,L991V2,1,1,0,1
L991,0000011-1,991_1416_191225,"Nemocnice Motol",,0,,L991V3,1,1,0,1
L991,0000011-1,991_537_191225,"Depo Hostivař",,1,,L991V2,1,1,0,1
L991,0000011-1,991_1417_191225,"Nemocnice Motol",,0,,L991V3,1,1,0,1
L991,0000011-1,991_539_191225,"Depo Hostivař",,1,,L991V2,1,1,0,1
L991,1111111-1,991_1272_180825,"Nemocnice Motol",,0,,L991V3,1,1,0,1
L991,1111111-1,991_246_180825,"Depo Hostivař",,1,,L991V2,1,1,0,1
L991,1111111-1,991_1273_180825,"Nemocnice Motol",,0,,L991V3,1,1,0,1
L991,1111111-1,991_248_180825,"Depo Hostivař",,1,,L991V2,1,1,0,1
L991,0000001-1,991_1420_191225,"Nemocnice Motol",,0,,L991V1,1,1,0,1
L991,0000011-1,991_547_191224,"Depo Hostivař",,1,,L991V2,1,1,0,1
L991,0000011-1,991_1421_180901,"Nemocnice Motol",,0,,L991V3,1,1,0,1
L991,0000001-1,991_549_191225,"Depo Hostivař",,1,,L991V2,1,1,0,1
L991,0000011-1,991_1422_191225,"Nemocnice Motol",,0,,L991V3,1,1,0,1
L991,0000001-1,991_551_191225,"Depo Hostivař",,1,,L991V2,1,1,0,1
L991,0000001-1,991_1423_181028,"Nemocnice Motol",,0,,L991V3,1,1,0,1
L991,0000011-1,991_553_191225,"Depo Hostivař",,1,,L991V2,1,1,0,1
L991,0000011-1,991_1168_180901,"Nemocnice Motol",,0,,L991V3,1,1,0,1
L991,1111111-1,991_38_180825,"Depo Hostivař",,1,,L991V2,1,1,0,1
